T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0.0172667;1.04762;2.01465;-3.06227;0.0150879;-0.0150879;0;3.13278;0.0452637;102.24;
0.0173333;0.725275;1.61172;-2.337;0.0150879;-0.0150879;0;2.41758;0.0452637;100.8;
0.0174;0.322344;0.967033;-1.28938;0.0150879;-0.0150879;0.0150879;1.35989;0.0150879;97.92;
0.0174667;0.564103;0.805861;-1.36996;0.0150879;0;0.0150879;1.40018;0.0301758;96.48;
0.0175333;0.805861;0.40293;-1.20879;0.0150879;0;0;1.25916;0.0754395;93.6;
0.0176;1.20879;-0.241758;-0.967033;0.0150879;0;0.0150879;1.26923;0.0150879;92.16;
0.0176667;1.36996;-0.967033;-0.40293;0.0150879;0.0150879;0;1.44048;0.0754395;90.72;
0.0177333;1.77289;-1.36996;-0.40293;0;0;0;1.89377;0.0905273;89.28;
0.0178;1.77289;-1.77289;0;0.0150879;0;0;2.09524;0.0150879;86.4;
0.0178667;1.61172;-2.17582;0.564103;0.0150879;0.0150879;0;2.31685;0.0150879;84.96;
0.0179333;1.61172;-2.337;0.725275;0;0;0;2.4478;0.0905273;83.52;
0.018;1.77289;-2.337;0.564102;0.0150879;0;0.0150879;2.49817;0.0150879;80.64;
0.0180667;2.25641;-2.57875;0.322344;0.0150879;0.0150879;0;2.86081;0.0150879;79.2;
0.0181333;2.49817;-3.30403;0.805861;0;0.0150879;0;3.50549;0.0754395;76.32;
0.0182;2.98168;-4.0293;1.04762;0.0150879;0.0150879;-0.0150879;4.24084;0.0754395;74.88;
0.0182667;3.62637;-4.75458;1.12821;0.0150879;0;0.0150879;5.02656;0.0150879;73.44;
0.0183333;4.0293;-5.07692;1.04762;0;0;0;5.41941;0.0905273;70.56;
0.0184;4.19048;-5.31868;1.1282;0;0;0;5.66117;0.0301758;69.12;
0.0184667;4.43223;-5.39927;0.967033;0.0150879;0;0;5.81227;0.0150879;67.68;
