T;I1;I2;I3;V1;V2;V3;I_tot;V_zero;Phase
0.0114;-2.17582;7.09157;-4.91575;0.0150879;-0.0150879;0.0150879;7.25275;0.0603516;253.44;
0.0114667;-3.62637;8.30037;-4.67399;0.0150879;-0.0150879;0;8.32051;0.0754395;250.56;
0.0115333;-5.23809;9.42857;-4.19048;0.0150879;-0.0150879;0.0150879;9.45879;0.0754395;247.68;
0.0116;-6.04396;9.91209;-3.86813;0.0150879;-0.0150879;0;10.0027;0.0301758;244.8;
0.0116667;-6.76923;9.99267;-3.22344;0.0150879;-0.0150879;0;10.2244;0.0452637;241.92;
0.0117333;-8.13919;9.42857;-1.28938;0.0150879;-0.0150879;0;10.2546;0.0754395;240.48;
0.0118;-9.50916;8.21978;1.28938;0.0301758;-0.0150879;0;10.3654;0.0301758;237.6;
0.0118667;-10.5568;6.44689;4.10989;0.0301758;-0.0150879;0;10.7079;0.0150879;234.72;
0.0119333;-10.315;5.15751;5.15751;0.0150879;0;-0.0150879;10.3855;0.0452637;230.4;
0.012;-9.75092;4.51282;5.2381;0.0301758;0;0;9.8315;0.0150879;227.52;
0.0120667;-8.21978;3.62637;4.59341;0.0452637;-0.0150879;0;8.30037;0.0150879;224.64;
0.0121333;-6.52747;2.65934;3.86813;0.0150879;-0.0150879;0;6.6282;0.0905273;221.76;
0.0122;-4.59341;1.61172;2.98168;0.0150879;0.0150879;0;4.72436;0.0452637;218.88;
0.0122667;-2.82051;0.564103;2.25641;0.0150879;0;-0.0150879;3.0522;0.0754395;214.56;
0.0123333;-1.85348;0.564103;1.28938;0.0301758;0;0;1.96429;0.0301758;211.68;
0.0124;-0.967033;0.241758;0.725275;0.0150879;0;0;1.06777;0.0150879;208.8;
0.0124667;0.805861;1.04762;-1.85348;0;0;0;1.8837;0.0905273;205.92;
0.0125333;2.49817;1.20879;-3.70696;0.0150879;0;0.0150879;3.80769;0.0754395;201.6;
0.0126;3.30403;1.12821;-4.43223;0;0;0.0150879;4.6337;0.0754395;198.72;
0.0126667;4.19048;1.61172;-5.8022;0.0150879;0;0.0150879;6.01374;0.0150879;195.84;
0.0127333;4.59341;2.73993;-7.33333;0;0;0.0150879;7.43407;0.0754395;192.96;
0.0128;4.67399;4.0293;-8.7033;0;0;0;8.73352;0;190.08;
0.0128667;4.19048;5.72161;-9.91209;0;-0.0150879;0.0150879;9.97253;0.0150879;187.2;
0.0129333;3.38462;7.01099;-10.3956;0;0;0.0150879;10.6273;0.0452637;184.32;
0.013;1.93407;7.89744;-9.8315;0;-0.0150879;0.0150879;10.4359;0.0905273;181.44;
0.0130667;-0.0805861;9.2674;-9.18681;0.0150879;-0.0150879;0.0150879;10.6273;0.0301758;180;
0.0131333;-2.82051;10.4762;-7.65568;0.0150879;-0.0150879;0;10.8288;0.0452637;177.12;
0.0132;-5.07692;11.1209;-6.04396;0.0150879;-0.0150879;0;11.141;0.0754395;174.24;
0.0132667;-5.23809;10.8791;-5.64103;0.0150879;-0.0150879;0;10.8892;0.0754395;171.36;
0.0133333;-4.67399;9.91209;-5.2381;0.0150879;-0.0150879;0.0150879;9.92216;0.0452637;167.04;
0.0134;-4.43223;8.38095;-3.94872;0.0301758;0;0;8.39102;0.0301758;164.16;
0.0134667;-3.62637;6.60806;-2.98168;0.0301758;0;0;6.6282;0.0754395;161.28;
0.0135333;-2.57875;4.67399;-2.09524;0.0150879;-0.0150879;0;4.69414;0.0754395;156.96;
0.0136;-1.04762;2.41758;-1.36996;0.0150879;0;-0.0150879;2.42766;0.0301758;154.08;
0.0136667;0.0805861;1.45055;-1.53114;0;0;0;1.74267;0.0301758;149.76;
0.0137333;1.45055;-0.161172;-1.28938;0;0.0150879;0;1.5815;0.0754395;146.88;
0.0138;3.54579;-2.17582;-1.36996;0.0150879;0.0150879;0;3.60623;0.0150879;144;
0.0138667;4.35165;-3.30403;-1.04762;0.0150879;0;0;4.58333;0.0150879;141.12;
0.0139333;5.47985;-4.0293;-1.45055;0;0;0;5.71154;0.0754395;136.8;
0.014;6.3663;-4.83516;-1.53114;0;0;0;6.68864;0.0301758;133.92;
0.0140667;7.97802;-5.15751;-2.82051;0;0;0.0150879;8.12912;0.0452637;131.04;
0.0141333;9.42857;-4.91575;-4.51282;0;0.0150879;0.0150879;9.45879;0.0603516;128.16;
0.0142;10.315;-4.19048;-6.12454;0;0.0150879;0;10.3956;0.0150879;126.72;
0.0142667;10.3956;-2.98168;-7.41392;0;0.0150879;0;10.7079;0.0754395;123.84;
0.0143333;10.3956;-0.483516;-9.91209;-0.0150879;0;0.0150879;11.7253;0.0603516;120.96;
0.0144;9.02564;1.85348;-10.8791;0;0;0.0150879;11.6749;0.0150879;118.08;
0.0144667;7.73626;4.43223;-12.1685;0;0;0.0301758;12.3498;0.0754395;115.2;
0.0145333;6.20513;5.88278;-12.0879;0;0;0.0301758;12.1181;0.0905273;112.32;
0.0146;5.47985;5.47985;-10.9597;0;-0.0150879;0.0150879;10.9899;0.0603516;109.44;
0.0146667;4.43223;4.67399;-9.10623;0;0;0.0150879;9.13645;0.0754395;105.12;
0.0147333;3.38462;3.70696;-7.09157;0;0;0.0150879;7.12179;0.0905273;102.24;
0.0148;2.09524;2.82051;-4.91575;0.0150879;0;0.0150879;4.95604;0.0150879;97.92;
0.0148667;0.967033;1.45055;-2.41758;0.0150879;0;0.0150879;2.45788;0.0301758;95.04;
0.0149333;0.805861;0.564103;-1.36996;0.0150879;0;0;1.40018;0.0754395;92.16;
0.015;0.564103;-0.886447;0.322344;0.0150879;0;0;0.95696;0.0301758;89.28;
0.0150667;0.644689;-2.25641;1.61172;0.0150879;0;0;2.38736;0.0150879;86.4;
0.0151333;0.483516;-3.14286;2.65934;0.0150879;0;0;3.45513;0.0754395;83.52;
0.0152;0.483516;-4.10989;3.62637;0.0301758;0.0150879;-0.0150879;4.56319;0.0150879;79.2;
0.0152667;0.967033;-4.99634;4.0293;0.0150879;0;-0.0150879;5.36905;0.0754395;76.32;
0.0153333;1.93407;-6.28571;4.35165;0.0150879;0.0150879;0;6.50733;0.0603516;73.44;
0.0154;3.06227;-7.81685;4.75458;0.0150879;0.0150879;0;7.9478;0.0150879;70.56;
0.0154667;4.67399;-9.18681;4.51282;0;0;0;9.25733;0.0905273;67.68;
0.0155333;6.28571;-10.0733;3.78755;0;0.0150879;0;10.2445;0.0754395;64.8;
0.0156;7.41392;-9.75092;2.337;0.0150879;0.0150879;0;10.2445;0.0150879;61.92;
0.0156667;8.54212;-9.10623;0.564103;0;0;0;10.2647;0.0905273;59.04;
0.0157333;9.8315;-7.65568;-2.17582;0;0.0150879;0.0150879;10.3654;0.0905273;56.16;
0.0158;10.7179;-6.12454;-4.59341;0;0;0.0150879;10.7784;0.0150879;53.28;
0.0158667;10.7179;-5.39927;-5.31868;0;0.0150879;0.0150879;10.7381;0.0150879;50.4;
0.0159333;9.75092;-4.67399;-5.07692;0;0;0.0150879;9.77106;0.0754395;47.52;
0.016;8.30037;-3.70696;-4.59341;0;0;0.0301758;8.33059;0.0301758;44.64;
0.0160667;6.52747;-2.65934;-3.86813;0;0;0;6.57784;0.0301758;41.76;
0.0161333;4.83516;-1.36996;-3.4652;0;0.0150879;0.0150879;4.98626;0.0905273;37.44;
0.0162;2.82051;-0.483516;-2.337;0;0;0;3.0119;0.0301758;34.56;
0.0162667;1.77289;-0.40293;-1.36996;0.0150879;0;-0.0150879;1.85348;0.0150879;31.68;
0.0163333;0.725275;-0.322344;-0.40293;0.0150879;0;0;0.735348;0.0150879;28.8;
0.0164;-1.04762;-0.564103;1.61172;0.0150879;0;0;1.76282;0.0301758;24.48;
0.0164667;-2.98168;-1.04762;4.0293;0.0301758;-0.0150879;-0.0150879;4.30128;0.0754395;21.6;
0.0165333;-3.78755;-1.04762;4.83516;0.0150879;0;0;5.20788;0.0754395;18.72;
0.0166;-4.59341;-1.85348;6.44689;0.0301758;0;0;6.75916;0.0150879;15.84;
0.0166667;-4.67399;-2.73993;7.41392;0.0301758;0;-0.0150879;7.62546;0.0150879;12.96;
0.0167333;-4.59341;-4.0293;8.62271;0.0301758;0;0;8.75366;0.0754395;10.08;
